timestamp,0xF030D05B_blue_temperature (degrees C),0xF030D05B_blue_humidity (% rH),0xEFCF86D7_yellow_temperature (degrees C),0xEFCF86D7_yellow_humidity (% rH),0xF030D0CF_red_temperature (degrees C),0xF030D0CF_red_humidity (% rH)
132473,,,21.48,51.94,,
132555,,,,,22.33,11.9
133368,24.32,12.43,,,,
133485,,,21.46,51.92,,
133567,,,,,22.32,11.83
134380,24.32,12.36,,,,
134497,,,21.53,51.99,,
134579,,,,,22.32,11.74
135392,24.31,12.32,,,,
135508,,,21.5,51.97,,
135590,,,,,22.34,11.77
136403,24.33,12.21,,,,
136520,,,21.46,52.01,,
136602,,,,,22.35,11.67
137415,24.33,12.16,,,,
137532,,,21.49,51.99,,
137614,,,,,22.34,11.66
138427,24.32,12.06,,,,
138543,,,21.51,51.98,,
138625,,,,,22.34,11.62
139439,24.31,11.98,,,,
139555,,,21.46,52.01,,
139637,,,,,22.35,11.57
140451,24.3,11.93,,,,
140567,,,21.5,52.01,,
140649,,,,,22.33,11.55
141462,24.31,11.86,,,,
141578,,,21.49,52.02,,
141660,,,,,22.34,11.52
142474,24.31,11.81,,,,
142590,,,21.49,52.03,,
142672,,,,,22.34,11.42
143486,24.3,11.83,,,,
143602,,,21.48,52.02,,
143684,,,,,22.35,11.41
144497,24.32,11.87,,,,
144613,,,21.53,52.01,,
144695,,,,,22.38,11.38
145509,24.29,11.85,,,,
145625,,,21.48,51.98,,
145707,,,,,22.35,11.33
146521,24.3,11.8,,,,
146637,,,21.51,52.0,,
146719,,,,,22.35,11.31
147532,24.3,11.79,,,,
147649,,,21.48,52.07,,
147730,,,,,22.34,11.28
148544,24.32,11.7,,,,
148660,,,21.46,52.05,,
148742,,,,,22.34,11.24
149556,24.3,11.76,,,,
149672,,,21.48,52.06,,
149754,,,,,22.36,11.19
150568,24.31,11.69,,,,
150684,,,21.47,52.09,,
150766,,,,,22.33,11.15
151579,24.32,11.67,,,,
151695,,,21.47,52.07,,
151777,,,,,22.35,11.11
152591,24.3,11.61,,,,
152707,,,21.46,52.08,,
152789,,,,,22.36,11.1
153602,24.31,11.52,,,,
153719,,,21.44,52.08,,
153800,,,,,22.36,11.03
154614,24.3,11.51,,,,
154730,,,21.49,52.11,,
154812,,,,,22.34,11.01
155626,24.3,11.46,,,,
155742,,,21.45,52.12,,
155824,,,,,22.34,10.98
156638,24.3,11.42,,,,
156753,,,21.45,52.15,,
156835,,,,,22.35,10.94
157649,24.29,11.43,,,,
157765,,,21.45,52.11,,
157847,,,,,22.36,10.89
158661,24.32,11.35,,,,
158777,,,21.46,52.14,,
158859,,,,,22.34,10.82
159672,24.32,11.35,,,,
159789,,,21.46,52.13,,
159870,,,,,22.36,10.82
160684,24.31,11.23,,,,
160800,,,21.45,52.19,,
160882,,,,,22.35,10.78
161696,24.3,11.21,,,,
161812,,,21.45,52.15,,
161894,,,,,22.36,10.76
162707,24.28,11.22,,,,
162824,,,21.43,52.18,,
162905,,,,,22.34,10.69
163719,24.31,11.16,,,,
163835,,,21.45,52.2,,
163917,,,,,22.33,10.69
164731,24.31,11.18,,,,
164847,,,21.44,52.18,,
164929,,,,,22.39,10.65
165742,24.31,11.13,,,,
165859,,,21.46,52.23,,
165941,,,,,22.36,10.6
166754,24.3,11.03,,,,
166870,,,21.46,52.23,,
166952,,,,,22.34,10.63
167766,24.31,10.98,,,,
167882,,,21.46,52.26,,
167964,,,,,22.35,10.54
168778,24.3,10.94,,,,
168894,,,21.45,52.2,,
168976,,,,,22.34,10.49
169790,24.3,10.94,,,,
169905,,,21.48,52.25,,
169987,,,,,22.36,10.48
170801,24.27,10.87,,,,
170917,,,21.48,52.26,,
170999,,,,,22.35,10.41
171813,24.31,10.81,,,,
171929,,,21.47,52.21,,
172010,,,,,22.32,10.44
172825,24.26,10.83,,,,
172940,,,21.44,52.23,,
173022,,,,,22.35,10.34
173836,24.31,10.79,,,,
173952,,,21.46,52.21,,
174034,,,,,22.34,10.35
174848,24.31,10.76,,,,
174964,,,21.44,52.24,,
175045,,,,,22.35,10.34
175860,24.28,10.68,,,,
175975,,,21.43,52.23,,
176057,,,,,22.37,10.29
176871,24.28,10.69,,,,
176987,,,21.44,52.21,,
177069,,,,,22.36,10.27
177883,24.28,10.7,,,,
177999,,,21.46,52.23,,
178080,,,,,22.37,10.19
178895,24.31,10.67,,,,
179010,,,21.46,52.22,,
179092,,,,,22.34,10.2
179906,24.28,10.62,,,,
180022,,,21.47,52.22,,
180104,,,,,22.36,10.15
180918,24.31,10.65,,,,
181034,,,21.49,52.26,,
181116,,,,,22.36,10.15
181930,24.29,10.66,,,,
182045,,,21.46,52.23,,
182127,,,,,22.36,10.12
182941,24.3,10.6,,,,
183057,,,21.46,52.2,,
183139,,,,,22.36,10.11
183953,24.3,10.57,,,,
184069,,,21.48,52.23,,
184151,,,,,22.38,10.04
184965,24.29,10.59,,,,
185081,,,21.46,52.23,,
185162,,,,,22.36,10.02
185976,24.27,10.47,,,,
186093,,,21.48,52.22,,
186174,,,,,22.34,9.98
186988,24.27,10.49,,,,
187105,,,21.49,52.19,,
187186,,,,,22.34,9.97
188001,24.29,10.46,,,,
188117,,,21.49,52.17,,
188197,,,,,22.34,9.88
189013,24.27,10.4,,,,
189128,,,21.49,52.22,,
189209,,,,,22.37,9.93
190024,24.3,10.31,,,,
190140,,,21.46,52.2,,
190221,,,,,22.38,9.87
191036,24.28,10.28,,,,
191151,,,21.45,52.23,,
191233,,,,,22.35,9.81
192047,24.27,10.29,,,,
192163,,,21.45,52.21,,
192244,,,,,22.36,9.81
193059,24.28,10.24,,,,
193175,,,21.46,52.23,,
193256,,,,,22.34,9.75
194071,24.28,10.23,,,,
194186,,,21.46,52.24,,
194268,,,,,22.34,9.76
195083,24.3,10.2,,,,
195198,,,21.44,52.22,,
195280,,,,,22.33,9.7
196094,24.29,10.17,,,,
196210,,,21.45,52.24,,
196291,,,,,22.36,9.71
197107,24.3,10.14,,,,
197222,,,21.42,52.24,,
197303,,,,,22.35,9.71
198118,24.28,10.11,,,,
198233,,,21.4,52.26,,
198315,,,,,22.37,9.63
199130,24.31,10.12,,,,
199245,,,21.42,52.27,,
199327,,,,,22.36,9.65
200142,24.27,10.06,,,,
200257,,,21.45,52.29,,
200339,,,,,22.35,9.6
201154,24.28,10.06,,,,
201268,,,21.45,52.3,,
201351,,,,,22.37,9.55
202165,24.25,10.01,,,,
202280,,,21.48,52.28,,
202362,,,,,22.36,9.53
203177,24.27,10.0,,,,
203292,,,21.46,52.24,,
203374,,,,,22.37,9.51
204189,24.27,10.0,,,,
204303,,,21.48,52.24,,
204386,,,,,22.38,9.47
205200,24.27,9.93,,,,
205315,,,21.48,52.22,,
205398,,,,,22.36,9.47
206212,24.24,9.86,,,,
206326,,,21.48,52.23,,
206409,,,,,22.37,9.44
207224,24.26,9.81,,,,
207338,,,21.47,52.2,,
207421,,,,,22.36,9.42
208235,24.26,9.81,,,,
208350,,,21.45,52.2,,
208433,,,,,22.36,9.38
209247,24.26,9.8,,,,
209361,,,21.46,52.2,,
209445,,,,,22.36,9.36
210259,24.28,9.82,,,,
210373,,,21.48,52.22,,
210456,,,,,22.33,9.31
211270,24.2,10.57,,,,
211385,,,21.46,52.24,,
211468,,,,,22.32,14.42
212282,24.19,14.56,,,,
212396,,,21.46,52.24,,
212480,,,,,22.37,21.49
213294,24.21,18.37,,,,
213408,,,21.46,52.23,,
213491,,,,,22.32,24.16
214306,24.23,20.4,,,,
214420,,,21.42,52.22,,
214503,,,,,22.32,23.03
215317,24.22,20.51,,,,
215431,,,21.44,52.2,,
215515,,,,,22.34,22.19
216329,24.22,20.1,,,,
216443,,,21.45,52.23,,
216526,,,,,22.34,21.41
217341,24.21,19.69,,,,
217455,,,21.43,52.2,,
217538,,,,,22.32,20.77
218353,24.2,19.53,,,,
218466,,,21.45,52.12,,
218550,,,,,22.32,20.3
219364,24.18,19.38,,,,
219478,,,21.49,51.97,,
219561,,,,,22.32,19.97
220376,24.19,19.2,,,,
220490,,,21.49,51.69,,
220573,,,,,22.34,19.68
221388,24.15,18.95,,,,
221501,,,21.49,51.35,,
221585,,,,,22.31,19.41
222400,24.17,18.89,,,,
222513,,,21.46,51.25,,
222597,,,,,22.33,19.24
223411,24.15,18.77,,,,
223525,,,21.48,51.2,,
223608,,,,,22.3,19.07
224423,24.14,18.64,,,,
224537,,,21.46,51.24,,
224620,,,,,22.33,18.88
225435,24.12,18.59,,,,
225549,,,21.43,51.37,,
225632,,,,,22.32,18.69
226447,24.14,18.47,,,,
226560,,,21.46,51.5,,
226643,,,,,22.34,18.55
227458,24.15,18.37,,,,
227572,,,21.45,51.65,,
227655,,,,,22.34,18.41
228470,24.15,18.24,,,,
228584,,,21.46,51.73,,
228667,,,,,22.33,18.29
229482,24.11,18.12,,,,
229595,,,21.51,51.82,,
229678,,,,,22.32,18.1
230494,24.16,18.03,,,,
230607,,,21.51,51.84,,
230690,,,,,22.33,18.0
231505,24.15,17.91,,,,
231619,,,21.48,51.86,,
231702,,,,,22.32,17.88
232517,24.1,17.73,,,,
232630,,,21.49,51.88,,
232713,,,,,22.31,17.73
233529,24.14,17.62,,,,
233642,,,21.46,51.91,,
233725,,,,,22.32,17.67
234540,24.16,17.5,,,,
234654,,,21.48,51.96,,
234737,,,,,22.31,17.51
235552,24.13,17.48,,,,
235666,,,21.46,51.99,,
235748,,,,,22.34,17.44
236564,24.13,17.33,,,,
236677,,,21.46,51.98,,
236760,,,,,22.32,17.29
237575,24.14,17.28,,,,
237689,,,21.43,51.99,,
237772,,,,,22.31,17.16
238587,24.14,17.11,,,,
238701,,,21.48,52.01,,
238783,,,,,22.32,17.06
239599,24.13,17.0,,,,
239712,,,21.48,51.98,,
239795,,,,,22.35,16.96
240611,24.14,16.95,,,,
240724,,,21.47,51.98,,
240807,,,,,22.35,16.84
241622,24.13,16.84,,,,
241736,,,21.45,51.98,,
241819,,,,,22.35,16.71
242634,24.13,16.72,,,,
242748,,,21.46,51.98,,
242831,,,,,22.35,16.62
243646,24.16,16.65,,,,
243759,,,21.44,52.01,,
243842,,,,,22.36,16.51
244657,24.14,16.54,,,,
244771,,,21.45,52.06,,
244854,,,,,22.33,16.41
245669,24.15,16.46,,,,
245783,,,21.46,52.03,,
245866,,,,,22.38,16.3
246681,24.14,16.29,,,,
246794,,,21.49,52.06,,
246878,,,,,22.34,16.18
247693,24.12,16.24,,,,
247806,,,21.47,52.07,,
247890,,,,,22.34,16.07
248704,24.14,16.21,,,,
248818,,,21.47,52.03,,
248901,,,,,22.36,16.01
249716,24.15,16.11,,,,
249829,,,21.47,52.09,,
249913,,,,,22.34,15.92
250728,24.16,16.03,,,,
250841,,,21.46,52.09,,
250925,,,,,22.33,15.79
251739,24.15,15.97,,,,
251853,,,21.45,52.1,,
251937,,,,,22.36,15.72
252751,24.16,15.81,,,,
252864,,,21.48,52.14,,
252948,,,,,22.35,15.61
253763,24.12,15.71,,,,
253876,,,21.46,52.11,,
253960,,,,,22.35,15.56
254774,24.15,15.67,,,,
254888,,,21.46,52.06,,
254971,,,,,22.35,15.48
255786,24.16,15.58,,,,
255899,,,21.46,52.1,,
255983,,,,,22.36,15.4
256798,24.15,15.56,,,,
256911,,,21.5,52.1,,
256995,,,,,22.34,15.32
257809,24.15,15.45,,,,
257923,,,21.48,52.04,,
258007,,,,,22.34,15.19
258821,24.17,15.39,,,,
258934,,,21.49,52.04,,
259018,,,,,22.38,15.11
259833,24.17,15.28,,,,
259946,,,21.5,52.03,,
260030,,,,,22.35,15.03
260844,24.18,15.22,,,,
260958,,,21.48,52.01,,
261042,,,,,22.37,14.94
261856,24.17,15.1,,,,
261969,,,21.51,52.03,,
262054,,,,,22.35,14.84
262868,24.18,15.08,,,,
262981,,,21.52,52.01,,
263066,,,,,22.34,14.79
263879,24.17,15.0,,,,
263993,,,21.49,51.97,,
264078,,,,,22.36,14.72
264891,24.14,14.94,,,,
265004,,,21.49,51.97,,
265089,,,,,22.36,14.63
265903,24.16,14.84,,,,
266016,,,21.49,52.0,,
266101,,,,,22.35,14.57
266914,24.17,14.75,,,,
267028,,,21.46,51.97,,
267113,,,,,22.37,14.47
267926,24.18,14.67,,,,
268039,,,21.45,51.91,,
268125,,,,,22.35,14.39
268938,24.16,14.55,,,,
269051,,,21.5,51.96,,
269137,,,,,22.36,14.3
269950,24.2,14.5,,,,
270063,,,21.52,51.99,,
270148,,,,,22.37,14.22
270962,24.19,14.4,,,,
271074,,,21.5,51.99,,
271160,,,,,22.38,14.17
271973,24.19,14.35,,,,
272086,,,21.49,51.97,,
272172,,,,,22.36,14.08
272985,24.17,14.35,,,,
273098,,,21.51,51.98,,
273184,,,,,22.34,13.99
273997,24.17,14.28,,,,
274109,,,21.51,51.95,,
274195,,,,,22.36,13.91
275008,24.2,14.18,,,,
275121,,,21.47,51.99,,
275207,,,,,22.34,13.85
276020,24.2,14.15,,,,
276133,,,21.45,51.95,,
276219,,,,,22.38,13.8
277032,24.21,14.08,,,,
277144,,,21.44,51.98,,
277231,,,,,22.37,13.75
278043,24.18,13.95,,,,
278156,,,21.46,51.98,,
278243,,,,,22.34,13.69
279055,24.2,13.91,,,,
279168,,,21.48,52.02,,
279255,,,,,22.36,13.57
280067,24.19,13.79,,,,
280179,,,21.49,52.03,,
280267,,,,,22.37,13.53
281078,24.17,13.8,,,,
281191,,,21.48,51.99,,
281278,,,,,22.36,13.46
282090,24.22,13.77,,,,
282203,,,21.46,52.0,,
282290,,,,,22.38,13.42
283102,24.19,13.68,,,,
283214,,,21.49,52.03,,
283302,,,,,22.36,13.33
284114,24.2,13.59,,,,
284226,,,21.48,51.98,,
284313,,,,,22.33,13.28
285125,24.21,13.62,,,,
285238,,,21.48,51.99,,
285325,,,,,22.36,13.2
286137,24.22,13.53,,,,
286249,,,21.5,52.02,,
286337,,,,,22.36,13.15
287149,24.22,13.48,,,,
287261,,,21.49,52.01,,
287348,,,,,22.35,13.09
288160,24.23,13.45,,,,
288273,,,21.49,51.98,,
288360,,,,,22.33,13.03
289172,24.23,13.33,,,,
289284,,,21.47,52.0,,
289372,,,,,22.36,12.93
290184,24.23,13.26,,,,
290296,,,21.5,52.01,,
290384,,,,,22.36,12.91
291195,24.22,13.22,,,,
291308,,,21.49,52.0,,
291396,,,,,22.36,12.86
292207,24.23,13.2,,,,
292319,,,21.47,52.0,,
292408,,,,,22.34,12.81
293219,24.19,13.18,,,,
293331,,,21.51,52.02,,
293419,,,,,22.36,12.71
294230,24.23,13.13,,,,
294343,,,21.46,52.01,,
294431,,,,,22.36,12.62
295242,24.24,13.02,,,,
295354,,,21.48,52.0,,
295443,,,,,22.35,12.6
296254,24.23,12.96,,,,
296366,,,21.45,52.02,,
296455,,,,,22.36,12.54
297266,24.24,12.83,,,,
297378,,,21.48,52.01,,
297466,,,,,22.36,12.49
298277,24.24,12.72,,,,
298390,,,21.47,52.05,,
298478,,,,,22.35,12.43
299289,24.21,12.64,,,,
299401,,,21.49,52.05,,
299490,,,,,22.37,12.38
300301,24.22,12.65,,,,
300413,,,21.53,52.03,,
300502,,,,,22.39,12.32
301312,24.25,12.64,,,,
301425,,,21.52,52.01,,
301514,,,,,22.37,12.24
302324,24.25,12.54,,,,
302436,,,21.56,51.98,,
302525,,,,,22.34,12.16
303336,24.26,12.5,,,,
303448,,,21.58,51.96,,
303537,,,,,22.36,12.13
304348,24.24,12.42,,,,
304460,,,21.57,51.92,,
304549,,,,,22.38,12.08
305359,24.27,12.42,,,,
305471,,,21.58,51.88,,
305561,,,,,22.36,12.02
306371,24.25,12.27,,,,
306483,,,21.57,51.86,,
306573,,,,,22.38,11.96
307382,24.26,12.2,,,,
307495,,,21.57,51.82,,
307584,,,,,22.36,11.93
308394,24.28,12.18,,,,
308506,,,21.53,51.82,,
308596,,,,,22.38,11.9
309406,24.24,12.12,,,,
309518,,,21.56,51.81,,
309608,,,,,22.38,11.87
310417,24.26,12.07,,,,
310530,,,21.61,51.8,,
310619,,,,,22.37,11.78
311429,24.27,12.06,,,,
311542,,,21.62,51.79,,
311631,,,,,22.38,11.73
312441,24.25,12.0,,,,
312553,,,21.57,51.8,,
312643,,,,,22.37,11.67
313453,24.24,11.95,,,,
313565,,,21.6,51.81,,
313655,,,,,22.37,11.64
314465,24.24,11.98,,,,
314577,,,21.59,51.77,,
314666,,,,,22.37,11.61
315476,24.25,11.9,,,,
315588,,,21.55,51.74,,
315678,,,,,22.36,11.54
316488,24.23,11.87,,,,
316600,,,21.54,51.81,,
316690,,,,,22.35,11.49
317499,24.24,11.81,,,,
317612,,,21.56,51.79,,
317701,,,,,22.37,11.46
318511,24.23,11.82,,,,
318623,,,21.57,51.81,,
318713,,,,,22.37,11.4
319523,24.26,11.83,,,,
319635,,,21.56,51.76,,
319725,,,,,22.39,11.35
320535,24.28,11.82,,,,
320647,,,21.54,51.74,,
320736,,,,,22.38,11.33
321547,24.27,11.68,,,,
321658,,,21.56,51.74,,
321748,,,,,22.36,11.27
322558,24.26,11.67,,,,
